Date,Open,High,Low,Close,Volume,Adj Close
2001-08-27,15.10,15.74,13.00,13.55,5723800,13.55
2001-08-20,14.22,15.12,14.10,15.00,3743400,15.00
2001-08-13,16.58,16.77,14.12,14.39,7808500,14.39
2001-08-06,18.49,19.27,15.95,16.209999,6477200,16.209999
2001-07-30,18.50,19.90,17.799999,19.25,7351100,19.25
2001-07-23,17.65,18.02,15.31,17.68,6762800,17.68
2001-07-16,21.10,21.200001,16.82,17.00,10139300,17.00
2001-07-09,20.870001,23.219999,20.120001,21.08,9661200,21.08
2001-07-02,29.049999,30.200001,20.799999,20.799999,10380700,20.799999
2001-06-25,25.950001,30.10,24.709999,28.90,6016000,28.90
2001-06-18,27.50,28.049999,23.559999,24.67,8071600,24.67
2001-06-11,31.10,31.10,26.50,27.559999,5856500,27.559999
2001-06-04,29.549999,31.790001,27.52,31.10,8767000,31.10
2001-05-29,31.91,31.91,27.50,29.60,7217600,29.60
2001-05-21,31.950001,34.650002,30.540001,31.940001,7012100,31.940001
2001-05-14,27.68,32.82,27.049999,32.490002,8294300,32.490002
2001-05-07,31.00,31.200001,27.530001,27.68,7788600,27.68
2001-04-30,30.75,33.25,29.50,30.99,9739100,30.99
2001-04-23,27.799999,30.00,26.42,30.00,9099800,30.00
2001-04-16,23.85,29.889999,22.209999,29.00,13460300,29.00
2001-04-09,20.299999,26.00,18.73,24.85,10989000,24.85
2001-04-02,26.700001,27.860001,20.049999,20.049999,12623400,20.049999
2001-03-26,29.50,30.15,26.50,26.540001,9357400,26.540001
2001-03-19,23.50,29.709999,21.950001,29.440001,10079400,29.440001
2001-03-12,22.75,24.940001,22.15,23.40,6090800,23.40
2001-03-05,22.15,26.049999,22.15,23.299999,7405300,23.299999
2001-02-26,22.10,23.68,19.65,21.74,7475500,21.74
2001-02-20,25.00,25.01,20.51,22.10,8846800,22.10
2001-02-12,23.35,26.75,23.309999,24.709999,5807000,24.709999
2001-02-05,23.639999,24.799999,22.959999,24.370001,5617400,24.370001
2001-01-29,21.700001,26.49,21.629999,23.889999,9191800,23.889999
2001-01-22,21.625,22.9375,20.25,21.375,6517900,21.375
2001-01-16,17.8125,22.9375,16.875,22.00,12211800,22.00
2001-01-08,15.9375,19.00,15.4375,17.8125,5372100,17.8125
2001-01-02,14.125,17.375,14.125,16.00,6486800,16.00
2000-12-26,14.625,14.8125,13.8125,13.8125,4833500,13.8125
2000-12-18,16.00,16.625,13.5625,14.3125,5580800,14.3125
2000-12-11,16.25,18.1875,15.50,16.1875,6521100,16.1875
2000-12-04,15.875,16.50,14.25,16.0625,7580300,16.0625
2000-11-27,21.4375,21.4375,14.6875,15.4375,8808500,15.4375
2000-11-20,20.25,21.1875,19.4375,20.8125,4292500,20.8125
2000-11-13,19.3125,22.625,19.25,20.5625,5585000,20.5625
2000-11-06,24.4375,24.8125,19.75,20.0625,5148200,20.0625
2000-10-30,20.375,25.4375,20.00,23.75,7792600,23.75
2000-10-23,22.1875,22.875,18.75,20.4375,6699600,20.4375
2000-10-16,21.8125,22.625,16.1875,22.125,13425900,22.125
2000-10-09,22.75,26.00,21.125,21.875,12873000,21.875
2000-10-02,23.9375,25.4375,21.5625,22.00,8354400,22.00
2000-09-25,26.75,26.875,23.00,24.00,8458300,24.00
2000-09-18,27.50,30.75,23.00,26.50,11519300,26.50
2000-09-11,31.5625,33.0625,27.125,27.75,7767100,27.75
2000-09-05,37.00,37.00,31.50,31.875,8047900,31.875
2000-08-28,34.625,38.25,33.8125,37.50,5580300,37.50
2000-08-21,70.75,71.75,33.125,34.50,6661400,34.50
2000-08-14,59.125,71.00,57.25,70.25,12509600,35.125
2000-08-07,60.50,66.8125,54.00,57.75,13719500,28.875
2000-07-31,71.875,73.75,58.0625,62.75,14156700,31.375
2000-07-24,81.00,83.1875,68.00,71.00,11520300,35.50
2000-07-17,89.1875,95.00,80.00,80.125,10766600,40.0625
2000-07-10,86.25,90.50,81.5625,90.00,7247200,45.00
2000-07-03,77.00,85.00,72.50,82.00,10441900,41.00
2000-06-26,89.00,89.375,74.9375,77.25,8820800,38.625
2000-06-19,81.00,95.4375,81.00,87.75,6881800,43.875
2000-06-12,89.875,90.00,80.3125,82.50,7033000,41.25
2000-06-05,89.75,97.00,85.75,88.75,9397200,44.375
2000-05-30,77.875,90.875,76.875,90.125,8506800,45.0625
2000-05-22,83.0625,83.50,66.00,74.00,13984300,37.00
2000-05-15,85.25,89.5625,83.0625,83.8125,6983800,41.90625
2000-05-08,90.00,91.00,77.00,85.6875,9538700,42.84375
2000-05-01,87.00,92.875,84.0625,92.00,9960700,46.00
2000-04-24,77.25,88.875,76.1875,87.50,13896300,43.75
2000-04-17,65.25,79.25,65.1875,78.25,11761900,39.125
2000-04-10,76.75,79.1875,62.75,66.00,17905400,33.00
2000-04-03,59.25,75.50,51.00,75.50,16412100,37.75
2000-03-27,54.00,60.375,51.875,59.00,8659400,29.50
2000-03-20,50.9375,58.875,50.75,54.00,7736800,27.00
2000-03-13,48.3125,53.75,46.3125,50.00,6749800,25.00
